Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2018-01,Esercizi extralberghieri,35859,19524
Arrivi,2018-02,Esercizi alberghieri,214351,131848
Arrivi,2018-02,Esercizi extralberghieri,32604,24070
Arrivi,2018-03,Esercizi alberghieri,198454,127549
Arrivi,2018-03,Esercizi extralberghieri,31476,28437
Arrivi,2018-04,Esercizi alberghieri,72193,65132
Arrivi,2018-04,Esercizi extralberghieri,25896,21768
Arrivi,2018-05,Esercizi alberghieri,70834,97783
Arrivi,2018-05,Esercizi extralberghieri,23709,55990
Arrivi,2018-06,Esercizi alberghieri,143460,121345
Arrivi,2018-06,Esercizi extralberghieri,52690,55534
Arrivi,2018-07,Esercizi alberghieri,290610,151504
Arrivi,2018-07,Esercizi extralberghieri,105482,107921
Arrivi,2018-08,Esercizi alberghieri,366165,120491
Arrivi,2018-08,Esercizi extralberghieri,138807,93651
Arrivi,2018-09,Esercizi alberghieri,147105,136172
Arrivi,2018-09,Esercizi extralberghieri,47145,64985
Arrivi,2018-10,Esercizi alberghieri,61828,69201
Arrivi,2018-10,Esercizi extralberghieri,19091,20831
Arrivi,2018-11,Esercizi alberghieri,54338,17584
Arrivi,2018-11,Esercizi extralberghieri,14428,3013
Arrivi,2018-12,Esercizi alberghieri,258954,56126
Arrivi,2018-12,Esercizi extralberghieri,61358,11003
Presenze,2018-01,Esercizi alberghieri,926173,604237
Presenze,2018-01,Esercizi extralberghieri,178352,117718
Presenze,2018-02,Esercizi alberghieri,824543,776108
Presenze,2018-02,Esercizi extralberghieri,135474,150399
Presenze,2018-03,Esercizi alberghieri,712231,647661
Presenze,2018-03,Esercizi extralberghieri,122743,149765
Presenze,2018-04,Esercizi alberghieri,185836,261821
Presenze,2018-04,Esercizi extralberghieri,94763,90911
Presenze,2018-05,Esercizi alberghieri,140978,316267
Presenze,2018-05,Esercizi extralberghieri,85992,230163
Presenze,2018-06,Esercizi alberghieri,427671,416182
Presenze,2018-06,Esercizi extralberghieri,182182,243264
Presenze,2018-07,Esercizi alberghieri,1456044,544346
Presenze,2018-07,Esercizi extralberghieri,526834,537883
Presenze,2018-08,Esercizi alberghieri,1918187,446460
Presenze,2018-08,Esercizi extralberghieri,762784,515453
Presenze,2018-09,Esercizi alberghieri,499639,467088
Presenze,2018-09,Esercizi extralberghieri,170318,256045
Presenze,2018-10,Esercizi alberghieri,131017,244015
Presenze,2018-10,Esercizi extralberghieri,75694,95387
Presenze,2018-11,Esercizi alberghieri,103957,50116
Presenze,2018-11,Esercizi extralberghieri,60100,17136
Presenze,2018-12,Esercizi alberghieri,756603,241882
Presenze,2018-12,Esercizi extralberghieri,202527,55051
Arrivi,2019-01,Esercizi alberghieri,217566,106392
Arrivi,2019-01,Esercizi extralberghieri,32670,19344
Arrivi,2019-02,Esercizi alberghieri,206312,131602
Arrivi,2019-02,Esercizi extralberghieri,30080,24467
Arrivi,2019-03,Esercizi alberghieri,187026,117622
Arrivi,2019-03,Esercizi extralberghieri,32384,22505
Arrivi,2019-04,Esercizi alberghieri,80100,73999
Arrivi,2019-04,Esercizi extralberghieri,27618,33358
Arrivi,2019-05,Esercizi alberghieri,59603,91203
Arrivi,2019-05,Esercizi extralberghieri,18998,37476
Arrivi,2019-06,Esercizi alberghieri,156685,138321
Arrivi,2019-06,Esercizi extralberghieri,56207,80828
Arrivi,2019-07,Esercizi alberghieri,290847,150715
Arrivi,2019-07,Esercizi extralberghieri,103889,112230
Arrivi,2019-08,Esercizi alberghieri,389471,125862
Arrivi,2019-08,Esercizi extralberghieri,153273,102247
Arrivi,2019-09,Esercizi alberghieri,145883,139032
Arrivi,2019-09,Esercizi extralberghieri,43612,65445
Arrivi,2019-10,Esercizi alberghieri,73989,79424
Arrivi,2019-10,Esercizi extralberghieri,23325,30531
Arrivi,2019-11,Esercizi alberghieri,67408,19146
Arrivi,2019-11,Esercizi extralberghieri,19027,3313
